position,layer,val_auroc,test_auroc
last_token,4,1.0,1.0
last_token,8,1.0,1.0
last_token,12,1.0,1.0
last_token,16,1.0,1.0
last_token,20,1.0,1.0
last_token,24,1.0,1.0
last_token,28,1.0,1.0
last_token,32,1.0,1.0
last_token,36,1.0,1.0
last_token,40,1.0,1.0
last_token,44,1.0,0.9965277777777778
last_token,48,1.0,1.0
last_token,52,1.0,1.0
last_token,56,1.0,1.0
last_token,60,1.0,1.0
end_of_reasoning,4,1.0,1.0
end_of_reasoning,8,1.0,1.0
end_of_reasoning,12,1.0,1.0
end_of_reasoning,16,1.0,1.0
end_of_reasoning,20,1.0,1.0
end_of_reasoning,24,1.0,1.0
end_of_reasoning,28,1.0,1.0
end_of_reasoning,32,1.0,1.0
end_of_reasoning,36,1.0,1.0
end_of_reasoning,40,1.0,1.0
end_of_reasoning,44,1.0,1.0
end_of_reasoning,48,1.0,1.0
end_of_reasoning,52,1.0,1.0
end_of_reasoning,56,1.0,1.0
end_of_reasoning,60,1.0,1.0
first_answer_sentence_end,4,1.0,1.0
first_answer_sentence_end,8,1.0,1.0
first_answer_sentence_end,12,1.0,1.0
first_answer_sentence_end,16,1.0,0.9965277777777778
first_answer_sentence_end,20,1.0,0.9965277777777778
first_answer_sentence_end,24,1.0,0.9965277777777778
first_answer_sentence_end,28,1.0,0.9965277777777778
first_answer_sentence_end,32,1.0,0.9965277777777778
first_answer_sentence_end,36,1.0,1.0
first_answer_sentence_end,40,1.0,1.0
first_answer_sentence_end,44,1.0,0.9965277777777778
first_answer_sentence_end,48,1.0,1.0
answer_mean_pool,4,1.0,1.0
answer_mean_pool,8,1.0,1.0
answer_mean_pool,12,1.0,1.0
answer_mean_pool,16,1.0,1.0
answer_mean_pool,20,1.0,1.0
answer_mean_pool,24,1.0,1.0
answer_mean_pool,28,1.0,1.0
answer_mean_pool,32,1.0,1.0
answer_mean_pool,36,1.0,1.0
answer_mean_pool,40,1.0,1.0
answer_mean_pool,44,1.0,1.0
answer_mean_pool,48,1.0,1.0
answer_mean_pool,52,1.0,1.0
answer_mean_pool,56,1.0,1.0
answer_mean_pool,60,1.0,1.0
reasoning_mean_pool,4,1.0,1.0
reasoning_mean_pool,8,1.0,1.0
reasoning_mean_pool,12,1.0,1.0
reasoning_mean_pool,16,1.0,1.0
reasoning_mean_pool,20,1.0,1.0
reasoning_mean_pool,24,1.0,1.0
reasoning_mean_pool,28,1.0,1.0
reasoning_mean_pool,32,1.0,1.0
reasoning_mean_pool,36,1.0,1.0
reasoning_mean_pool,40,1.0,1.0
reasoning_mean_pool,44,1.0,1.0
reasoning_mean_pool,48,1.0,1.0
reasoning_mean_pool,52,1.0,1.0
reasoning_mean_pool,56,1.0,1.0
reasoning_mean_pool,60,1.0,1.0
first_answer_sentence_end,52,0.9965277777777778,1.0
first_answer_sentence_end,56,0.9965277777777778,1.0
first_answer_sentence_end,60,0.9965277777777778,1.0
